window,gene,category,count
50kb,si:ch73-335l21.4,sig. positive,18
50kb,si:ch73-335m24.2,sig. negative,1
50kb,si:ch73-337l15.2,sig. positive,2
50kb,si:ch73-340m8.2,sig. positive,2
50kb,si:ch73-341k19.1,sig. negative,4
50kb,si:ch73-343l4.8,sig. negative,1
50kb,si:ch73-344o19.1,sig. positive,2
50kb,si:ch73-347e22.4,sig. positive,7
50kb,si:ch73-347e22.8,sig. negative,2
50kb,si:ch73-347e22.8,sig. positive,2
50kb,si:ch73-352p18.4,sig. positive,8
50kb,si:ch73-352p4.8,sig. positive,3
50kb,si:ch73-359m17.11,sig. positive,3
50kb,si:ch73-362m14.2,sig. negative,2
50kb,si:ch73-364h19.1,sig. positive,26
50kb,si:ch73-366l1.5,sig. positive,32
50kb,si:ch73-367f21.4,sig. positive,2
50kb,si:ch73-367f21.6,sig. positive,9
50kb,si:ch73-368j24.11,sig. positive,6
50kb,si:ch73-368j24.12,sig. positive,28
50kb,si:ch73-375g18.1,sig. positive,2
50kb,si:ch73-380l3.3,sig. positive,1
50kb,si:ch73-380l3.4,sig. negative,1
50kb,si:ch73-382f3.1,sig. positive,2
50kb,si:ch73-40a17.4,sig. positive,3
50kb,si:ch73-40a2.1,sig. positive,1
50kb,si:ch73-41e3.7,sig. positive,1
50kb,si:ch73-43g23.1,sig. positive,8
50kb,si:ch73-44m9.1,sig. positive,3
50kb,si:ch73-50f9.4,sig. negative,3
50kb,si:ch73-50f9.4,sig. positive,3
50kb,si:ch73-54f23.4,sig. positive,3
50kb,si:ch73-56d11.5,sig. positive,3
50kb,si:ch73-60h1.1,sig. positive,4
50kb,si:ch73-61d6.3,sig. positive,12
50kb,si:ch73-70k4.1,sig. positive,7
50kb,si:ch73-71d17.2,sig. positive,5
50kb,si:ch73-74h11.1,sig. positive,2
50kb,si:ch73-7i4.2,sig. negative,1
50kb,si:ch73-91k6.2,sig. positive,9
50kb,si:ch73-92e7.6,sig. positive,2
50kb,si:ch73-95l15.5,sig. positive,18
50kb,si:dkey-100n19.2,sig. positive,3
50kb,si:dkey-100n23.3,sig. positive,1
50kb,si:dkey-100n23.5,sig. positive,12
50kb,si:dkey-102c8.2,sig. positive,1
50kb,si:dkey-102c8.3,sig. positive,11
50kb,si:dkey-102f14.7,sig. negative,1
50kb,si:dkey-102g19.3,sig. positive,2
50kb,si:dkey-102m7.3,sig. positive,10
50kb,si:dkey-103g5.4,sig. positive,5
50kb,si:dkey-103i16.6,sig. positive,28
50kb,si:dkey-103j14.5,sig. positive,2
50kb,si:dkey-104n9.1,sig. positive,5
50kb,si:dkey-106c17.2,sig. negative,3
50kb,si:dkey-106l3.7,sig. negative,1
50kb,si:dkey-106l3.7,sig. positive,4
50kb,si:dkey-106n21.1,sig. positive,17
50kb,si:dkey-108k21.10,sig. negative,1
50kb,si:dkey-108k21.10,sig. positive,1
50kb,si:dkey-108k21.11,sig. negative,2
50kb,si:dkey-108k21.19,sig. negative,10
50kb,si:dkey-108k21.19,sig. positive,8
50kb,si:dkey-108k21.24,sig. positive,26
50kb,si:dkey-109l4.3,sig. negative,1
50kb,si:dkey-109l4.3,sig. positive,1
50kb,si:dkey-10o6.2,sig. positive,6
50kb,si:dkey-10p5.10,sig. negative,2
50kb,si:dkey-110g7.8,sig. positive,9
50kb,si:dkey-111e8.5,sig. positive,2
50kb,si:dkey-112a7.4,sig. positive,8
50kb,si:dkey-112e17.1,sig. positive,5
50kb,si:dkey-112m2.1,sig. positive,16
50kb,si:dkey-117a8.1,sig. positive,2
50kb,si:dkey-117m1.4,sig. positive,12
50kb,si:dkey-117n7.5,sig. positive,28
50kb,si:dkey-118j18.2,sig. positive,12
50kb,si:dkey-118k5.3,sig. positive,12
50kb,si:dkey-119f1.1,sig. positive,2
50kb,si:dkey-11e23.9,sig. negative,1
50kb,si:dkey-11e23.9,sig. positive,3
50kb,si:dkey-11f4.14,sig. positive,1
50kb,si:dkey-11f4.16,sig. negative,2
50kb,si:dkey-11f4.20,sig. positive,10
50kb,si:dkey-11f4.7,sig. negative,2
50kb,si:dkey-11f4.7,sig. positive,1
50kb,si:dkey-11o18.5,sig. positive,3
50kb,si:dkey-120c6.5,sig. positive,4
50kb,si:dkey-121a11.3,sig. negative,1
50kb,si:dkey-121a11.3,sig. positive,2
50kb,si:dkey-121b10.7,sig. positive,35
50kb,si:dkey-121j17.6,sig. positive,4
50kb,si:dkey-122a22.2,sig. positive,1
50kb,si:dkey-124l13.1,sig. positive,1
50kb,si:dkey-125i10.3,sig. positive,3
50kb,si:dkey-126g1.9,sig. positive,2
50kb,si:dkey-12e7.1,sig. negative,2
50kb,si:dkey-12h9.6,sig. negative,1
50kb,si:dkey-12h9.6,sig. positive,2
50kb,si:dkey-12j5.1,sig. positive,12
50kb,si:dkey-12l12.1,sig. positive,11
50kb,si:dkey-13a21.4,sig. positive,6
50kb,si:dkey-13e3.1,sig. positive,1
50kb,si:dkey-13n15.11,sig. negative,1
50kb,si:dkey-13n15.11,sig. positive,3
50kb,si:dkey-13n15.2,sig. positive,2
50kb,si:dkey-148a17.6,sig. negative,2
50kb,si:dkey-14d8.1,sig. negative,1
50kb,si:dkey-14d8.1,sig. positive,2
50kb,si:dkey-14d8.20,sig. positive,2
50kb,si:dkey-14d8.22,sig. positive,1
50kb,si:dkey-14d8.6,sig. positive,29
50kb,si:dkey-14d8.7,sig. positive,23
50kb,si:dkey-14k9.3,sig. positive,1
50kb,si:dkey-150i13.2,sig. positive,9
50kb,si:dkey-151g10.6,sig. negative,2
50kb,si:dkey-151p11.2,sig. positive,12
50kb,si:dkey-152b24.6,sig. negative,1
50kb,si:dkey-152b24.6,sig. positive,2
50kb,si:dkey-152b24.7,sig. positive,2
50kb,si:dkey-154b15.1,sig. positive,8
50kb,si:dkey-154p10.3,sig. positive,2
50kb,si:dkey-156n14.3,sig. negative,6
50kb,si:dkey-157l19.2,sig. negative,1
50kb,si:dkey-157l19.2,sig. positive,15
50kb,si:dkey-159a18.1,sig. positive,14
50kb,si:dkey-15h8.15,sig. positive,1
50kb,si:dkey-15h8.17,sig. positive,2
50kb,si:dkey-15j16.6,sig. positive,1
50kb,si:dkey-160o24.3,sig. positive,1
50kb,si:dkey-163f14.6,sig. positive,8
50kb,si:dkey-164f24.2,sig. positive,2
50kb,si:dkey-165a24.10,sig. negative,1
50kb,si:dkey-165a24.9,sig. positive,3
50kb,si:dkey-166k12.1,sig. positive,2
50kb,si:dkey-169i5.4,sig. positive,6
50kb,si:dkey-16j16.4,sig. negative,5
50kb,si:dkey-16j16.4,sig. positive,2
50kb,si:dkey-16l2.16,sig. positive,3
50kb,si:dkey-16l2.17,sig. negative,1
50kb,si:dkey-16l2.17,sig. positive,3
50kb,si:dkey-16l2.20,sig. negative,1
50kb,si:dkey-16l2.20,sig. positive,1
50kb,si:dkey-16n15.6,sig. positive,1
50kb,si:dkey-16p21.8,sig. positive,13
50kb,si:dkey-171c9.3,sig. positive,3
50kb,si:dkey-172h23.2,sig. positive,17
50kb,si:dkey-172j4.3,sig. positive,16
50kb,si:dkey-172m14.1,sig. negative,1
50kb,si:dkey-172m14.1,sig. positive,7
50kb,si:dkey-174i8.1,sig. negative,1
50kb,si:dkey-174i8.1,sig. positive,1
50kb,si:dkey-174m14.3,sig. positive,2
50kb,si:dkey-174n20.1,sig. positive,3
50kb,si:dkey-175d9.2,sig. positive,1
50kb,si:dkey-175g6.2,sig. positive,7
50kb,si:dkey-175m17.7,sig. positive,2
50kb,si:dkey-177p2.18,sig. positive,6
50kb,si:dkey-177p2.6,sig. positive,6
50kb,si:dkey-178e17.3,sig. positive,26
50kb,si:dkey-178j11.5,sig. negative,1
50kb,si:dkey-178k16.1,sig. positive,13
50kb,si:dkey-179j5.5,sig. positive,1
50kb,si:dkey-17m8.1,sig. positive,4
50kb,si:dkey-17m8.2,sig. positive,1
50kb,si:dkey-17o15.2,sig. negative,1
50kb,si:dkey-17o15.2,sig. positive,10
50kb,si:dkey-181m9.8,sig. negative,1
50kb,si:dkey-181m9.8,sig. positive,5
50kb,si:dkey-182g1.10,sig. negative,2
50kb,si:dkey-182g1.10,sig. positive,1
50kb,si:dkey-182g1.6,sig. negative,1
50kb,si:dkey-182i3.10,sig. negative,2
50kb,si:dkey-182i3.10,sig. positive,1
50kb,si:dkey-182i3.11,sig. negative,1
50kb,si:dkey-182i3.8,sig. positive,7
50kb,si:dkey-182i3.9,sig. positive,8
50kb,si:dkey-183c6.7,sig. positive,2
50kb,si:dkey-183c6.8,sig. positive,10
50kb,si:dkey-183c6.9,sig. positive,3
50kb,si:dkey-183i3.6,sig. negative,2
50kb,si:dkey-183i3.6,sig. positive,4
50kb,si:dkey-183n20.15,sig. positive,1
50kb,si:dkey-183p4.10,sig. positive,18
50kb,si:dkey-184a18.5,sig. positive,1
50kb,si:dkey-184p18.2,sig. positive,10
50kb,si:dkey-185m8.2,sig. positive,3
50kb,si:dkey-187i8.2,sig. positive,6
50kb,si:dkey-188g12.1,sig. positive,9
50kb,si:dkey-188h10.3,sig. positive,6
50kb,si:dkey-18j18.3,sig. positive,8
50kb,si:dkey-18p12.4,sig. positive,1
50kb,si:dkey-190g11.3,sig. positive,6
50kb,si:dkey-190l8.2,sig. positive,2
50kb,si:dkey-191g9.5,sig. negative,1
50kb,si:dkey-191g9.5,sig. positive,3
50kb,si:dkey-191g9.7,sig. negative,1
50kb,si:dkey-191g9.7,sig. positive,1
50kb,si:dkey-192g7.3,sig. positive,15
50kb,si:dkey-192k22.2,sig. positive,12
50kb,si:dkey-192l18.9,sig. positive,9
50kb,si:dkey-192p21.6,sig. negative,2
50kb,si:dkey-192p21.6,sig. positive,1
50kb,si:dkey-193c22.1,sig. positive,11
50kb,si:dkey-193i10.4,sig. positive,1
50kb,si:dkey-193p11.2,sig. negative,1
50kb,si:dkey-194g4.1,sig. positive,2
50kb,si:dkey-195m11.11,sig. positive,39
50kb,si:dkey-195m11.8,sig. positive,27
50kb,si:dkey-196h17.9,sig. positive,1
50kb,si:dkey-197c15.6,sig. positive,3
50kb,si:dkey-197j19.5,sig. negative,2
50kb,si:dkey-197j19.5,sig. positive,1
50kb,si:dkey-199f5.7,sig. negative,2
50kb,si:dkey-199f5.8,sig. positive,8
50kb,si:dkey-19a16.2,sig. positive,7
50kb,si:dkey-19a16.7,sig. positive,1
50kb,si:dkey-19b23.10,sig. positive,3
50kb,si:dkey-19b23.7,sig. negative,1
50kb,si:dkey-19b23.8,sig. positive,28
50kb,si:dkey-19e4.5,sig. positive,1
50kb,si:dkey-1b17.1,sig. positive,3
50kb,si:dkey-1b17.5,sig. negative,1
50kb,si:dkey-1b17.5,sig. positive,12
50kb,si:dkey-1b17.9,sig. positive,2
50kb,si:dkey-1c7.3,sig. positive,1
50kb,si:dkey-1d7.3,sig. negative,2
50kb,si:dkey-1h24.6,sig. negative,2
50kb,si:dkey-1h24.6,sig. positive,2
50kb,si:dkey-1h4.4,sig. positive,5
50kb,si:dkey-1h6.8,sig. positive,4
50kb,si:dkey-1j5.4,sig. negative,4
50kb,si:dkey-1j5.4,sig. positive,6
50kb,si:dkey-1k23.3,sig. negative,2
50kb,si:dkey-1k23.3,sig. positive,5
50kb,si:dkey-200l5.4,sig. positive,1
50kb,si:dkey-201l21.4,sig. negative,1
50kb,si:dkey-201l21.4,sig. positive,10
50kb,si:dkey-202b22.6,sig. positive,3
50kb,si:dkey-202e22.2,sig. positive,1
50kb,si:dkey-204f11.64,sig. positive,1
50kb,si:dkey-204l11.1,sig. positive,5
50kb,si:dkey-205h13.2,sig. positive,5
50kb,si:dkey-206f10.1,sig. negative,4
50kb,si:dkey-206f10.1,sig. positive,1
50kb,si:dkey-206p8.1,sig. positive,11
50kb,si:dkey-207b20.2,sig. positive,1
50kb,si:dkey-207l24.2,sig. positive,1
50kb,si:dkey-20i20.2,sig. positive,2
50kb,si:dkey-210j14.3,sig. positive,1
50kb,si:dkey-211g8.4,sig. negative,1
50kb,si:dkey-211g8.4,sig. positive,3
50kb,si:dkey-211g8.5,sig. negative,1
50kb,si:dkey-211g8.6,sig. positive,5
50kb,si:dkey-211g8.8,sig. positive,1
50kb,si:dkey-216e24.9,sig. positive,18
50kb,si:dkey-217m5.8,sig. positive,1
50kb,si:dkey-219c10.4,sig. negative,1
50kb,si:dkey-219c10.4,sig. positive,5
50kb,si:dkey-219c3.2,sig. negative,2
50kb,si:dkey-219c3.2,sig. positive,2
50kb,si:dkey-219e21.2,sig. positive,7
50kb,si:dkey-219e21.4,sig. positive,2
50kb,si:dkey-21a6.5,sig. positive,2
50kb,si:dkey-21c1.1,sig. positive,4
50kb,si:dkey-21c1.4,sig. positive,7
50kb,si:dkey-21e13.3,sig. negative,1
50kb,si:dkey-21e2.13,sig. positive,2
50kb,si:dkey-21e2.8,sig. negative,1
50kb,si:dkey-21e2.8,sig. positive,1
50kb,si:dkey-21p1.3,sig. negative,1
50kb,si:dkey-21p1.3,sig. positive,9
50kb,si:dkey-220f10.4,sig. negative,1
50kb,si:dkey-220k22.1,sig. positive,15
50kb,si:dkey-220k22.3,sig. positive,1
50kb,si:dkey-220o5.5,sig. positive,1
50kb,si:dkey-221h15.4,sig. negative,3
50kb,si:dkey-221l4.10,sig. positive,13
50kb,si:dkey-222f2.1,sig. negative,1
50kb,si:dkey-222f2.1,sig. positive,3
50kb,si:dkey-222f2.7,sig. positive,4
50kb,si:dkey-222f8.3,sig. positive,3
50kb,si:dkey-222h21.2,sig. negative,1
50kb,si:dkey-222n6.2,sig. positive,3
50kb,si:dkey-222p3.1,sig. positive,2
50kb,si:dkey-225f5.4,sig. positive,8
50kb,si:dkey-225n22.4,sig. positive,1
50kb,si:dkey-226l10.6,sig. negative,2
50kb,si:dkey-226l10.6,sig. positive,4
50kb,si:dkey-228a15.1,sig. negative,2
50kb,si:dkey-228a15.1,sig. positive,12
50kb,si:dkey-228b2.6,sig. negative,1
50kb,si:dkey-228b2.6,sig. positive,2
50kb,si:dkey-228d14.5,sig. negative,1
50kb,si:dkey-228d14.5,sig. positive,2
50kb,si:dkey-229b18.3,sig. positive,6
50kb,si:dkey-229d11.5,sig. negative,1
50kb,si:dkey-229e3.2,sig. positive,2
50kb,si:dkey-22f5.9,sig. negative,3
50kb,si:dkey-22i16.9,sig. positive,3
50kb,si:dkey-22l11.6,sig. positive,5
50kb,si:dkey-22n8.3,sig. positive,3
50kb,si:dkey-22o22.2,sig. positive,42
50kb,si:dkey-230p4.1,sig. positive,4
50kb,si:dkey-234h16.7,sig. positive,6
50kb,si:dkey-234i14.2,sig. negative,1
50kb,si:dkey-234i14.2,sig. positive,7
50kb,si:dkey-234i14.6,sig. positive,1
50kb,si:dkey-237j10.2,sig. positive,4
50kb,si:dkey-238c7.16,sig. positive,6
50kb,si:dkey-238d18.3,sig. positive,1
50kb,si:dkey-238d18.4,sig. negative,2
50kb,si:dkey-238d18.4,sig. positive,3
50kb,si:dkey-238i5.2,sig. negative,3
50kb,si:dkey-238i5.2,sig. positive,15
50kb,si:dkey-238o13.4,sig. negative,2
50kb,si:dkey-238o13.4,sig. positive,3
50kb,si:dkey-239h2.3,sig. positive,7
50kb,si:dkey-239i20.2,sig. positive,22
50kb,si:dkey-239i20.4,sig. positive,10
50kb,si:dkey-239j18.2,sig. positive,41
50kb,si:dkey-239j18.3,sig. positive,26
50kb,si:dkey-23a13.11,sig. negative,2
50kb,si:dkey-23a13.11,sig. positive,2
50kb,si:dkey-23a13.17,sig. negative,1
50kb,si:dkey-23a13.17,sig. positive,6
50kb,si:dkey-23a13.22,sig. positive,3
50kb,si:dkey-23a13.9,sig. positive,3
50kb,si:dkey-23a23.2,sig. positive,3
50kb,si:dkey-23c22.5,sig. positive,3
50kb,si:dkey-23i12.5,sig. negative,1
50kb,si:dkey-23i12.5,sig. positive,4
50kb,si:dkey-23k10.2,sig. positive,1
50kb,si:dkey-23k10.3,sig. negative,3
50kb,si:dkey-23k10.3,sig. positive,2
50kb,si:dkey-23k10.5,sig. negative,1
50kb,si:dkey-23k10.5,sig. positive,1
50kb,si:dkey-240h12.4,sig. positive,34
50kb,si:dkey-241l7.3,sig. positive,2
50kb,si:dkey-241l7.5,sig. positive,3
50kb,si:dkey-241l7.6,sig. negative,1
50kb,si:dkey-242h9.3,sig. negative,1
50kb,si:dkey-242h9.3,sig. positive,2
50kb,si:dkey-242h9.5,sig. positive,1
50kb,si:dkey-243i1.1,sig. positive,2
50kb,si:dkey-244a7.1,sig. negative,2
50kb,si:dkey-245f22.3,sig. positive,2
50kb,si:dkey-245n4.2,sig. positive,2
50kb,si:dkey-246e1.3,sig. positive,2
50kb,si:dkey-246e3.4,sig. negative,1
50kb,si:dkey-246g23.2,sig. positive,9
50kb,si:dkey-246g23.4,sig. positive,2
50kb,si:dkey-246i14.3,sig. positive,16
50kb,si:dkey-246j7.1,sig. positive,3
50kb,si:dkey-247m21.3,sig. positive,3
50kb,si:dkey-248g15.3,sig. positive,2
50kb,si:dkey-248g21.1,sig. positive,1
50kb,si:dkey-249p7.4,sig. positive,1
50kb,si:dkey-24l11.2,sig. positive,6
50kb,si:dkey-24p1.1,sig. negative,1
50kb,si:dkey-250d21.1,sig. positive,3
50kb,si:dkey-250k15.4,sig. negative,1
50kb,si:dkey-251i10.2,sig. positive,3
50kb,si:dkey-253d23.11,sig. positive,6
50kb,si:dkey-253d23.2,sig. positive,7
50kb,si:dkey-253d23.3,sig. positive,8
50kb,si:dkey-253d23.4,sig. positive,7
50kb,si:dkey-253d23.8,sig. positive,5
50kb,si:dkey-253d23.9,sig. positive,24
50kb,si:dkey-256e7.8,sig. positive,3
50kb,si:dkey-256h2.1,sig. negative,5
50kb,si:dkey-256h2.1,sig. positive,1
50kb,si:dkey-258f14.3,sig. positive,1
50kb,si:dkey-25e12.3,sig. negative,3
50kb,si:dkey-25o16.4,sig. negative,1
50kb,si:dkey-25o16.4,sig. positive,10
50kb,si:dkey-260g12.1,sig. negative,6
50kb,si:dkey-260g12.1,sig. positive,1
50kb,si:dkey-260j18.2,sig. positive,1
50kb,si:dkey-261e22.4,sig. positive,19
50kb,si:dkey-261j15.2,sig. positive,1
50kb,si:dkey-261l7.2,sig. positive,6
50kb,si:dkey-261m9.12,sig. positive,1
50kb,si:dkey-261m9.19,sig. negative,1
50kb,si:dkey-261m9.19,sig. positive,4
50kb,si:dkey-261m9.6,sig. positive,1
50kb,si:dkey-262g12.12,sig. positive,1
50kb,si:dkey-262g12.3,sig. positive,1
50kb,si:dkey-262k9.2,sig. positive,30
50kb,si:dkey-264d12.5,sig. positive,16
50kb,si:dkey-267j14.7,sig. positive,1
50kb,si:dkey-267n13.1,sig. positive,6
50kb,si:dkey-269i1.4,sig. positive,29
50kb,si:dkey-26c10.5,sig. positive,1
50kb,si:dkey-26g8.5,sig. positive,34
50kb,si:dkey-271j15.3,sig. negative,1
50kb,si:dkey-276j7.1,sig. negative,4
50kb,si:dkey-276j7.1,sig. positive,8
50kb,si:dkey-276j7.2,sig. positive,1
50kb,si:dkey-27i16.2,sig. positive,9
50kb,si:dkey-27p18.3,sig. positive,1
50kb,si:dkey-283b1.6,sig. positive,3
50kb,si:dkey-283b1.7,sig. positive,4
50kb,si:dkey-283b15.2,sig. negative,1
50kb,si:dkey-284p5.3,sig. positive,2
50kb,si:dkey-286j15.1,sig. positive,4
50kb,si:dkey-286j15.3,sig. positive,1
50kb,si:dkey-287g12.6,sig. positive,1
50kb,si:dkey-288a3.2,sig. positive,21
50kb,si:dkey-28a3.2,sig. positive,5
50kb,si:dkey-28b4.8,sig. positive,7
50kb,si:dkey-28d5.10,sig. negative,2
50kb,si:dkey-28d5.10,sig. positive,1
50kb,si:dkey-28d5.13,sig. positive,11
50kb,si:dkey-28d5.14,sig. negative,1
50kb,si:dkey-28d5.14,sig. positive,2
50kb,si:dkey-28d5.3,sig. positive,1
50kb,si:dkey-28n18.9,sig. positive,3
50kb,si:dkey-29b11.3,sig. positive,7
50kb,si:dkey-29d8.3,sig. negative,13
50kb,si:dkey-29d8.3,sig. positive,1
50kb,si:dkey-29p10.4,sig. negative,4
50kb,si:dkey-30c15.12,sig. positive,1
50kb,si:dkey-30c15.13,sig. positive,6
50kb,si:dkey-30c15.17,sig. negative,1
50kb,si:dkey-30c15.2,sig. positive,2
50kb,si:dkey-30e9.6,sig. positive,1
50kb,si:dkey-31e10.1,sig. positive,1
50kb,si:dkey-31g6.6,sig. positive,1
50kb,si:dkey-32e23.4,sig. positive,2
50kb,si:dkey-32e6.6,sig. positive,4
50kb,si:dkey-32n7.7,sig. negative,1
50kb,si:dkey-33c12.4,sig. positive,18
50kb,si:dkey-33c14.6,sig. positive,2
50kb,si:dkey-33c14.7,sig. negative,1
50kb,si:dkey-33c14.7,sig. positive,8
50kb,si:dkey-33c9.6,sig. positive,16
50kb,si:dkey-33i11.1,sig. negative,1
50kb,si:dkey-33i11.1,sig. positive,1
50kb,si:dkey-33i11.9,sig. negative,1
50kb,si:dkey-33i11.9,sig. positive,2
50kb,si:dkey-33m11.7,sig. positive,1
50kb,si:dkey-33m11.8,sig. positive,1
50kb,si:dkey-34d22.1,sig. positive,15
50kb,si:dkey-34d22.2,sig. negative,1
50kb,si:dkey-34e4.1,sig. positive,22
50kb,si:dkey-37g12.1,sig. positive,15
50kb,si:dkey-37m8.11,sig. positive,1
50kb,si:dkey-39a18.1,sig. negative,1
50kb,si:dkey-39a18.1,sig. positive,6
50kb,si:dkey-3h3.3,sig. negative,1
50kb,si:dkey-3h3.3,sig. positive,24
50kb,si:dkey-3k20.1,sig. positive,4
50kb,si:dkey-3n22.9,sig. negative,2
50kb,si:dkey-40c11.2,sig. positive,28
50kb,si:dkey-40h20.1,sig. negative,3
50kb,si:dkey-42i9.4,sig. negative,2
50kb,si:dkey-42l23.4,sig. positive,1
50kb,si:dkey-42l23.7,sig. positive,12
50kb,si:dkey-42p14.3,sig. positive,2
50kb,si:dkey-43k4.3,sig. positive,2
50kb,si:dkey-43k4.5,sig. positive,1
50kb,si:dkey-43p13.5,sig. positive,7
50kb,si:dkey-45k15.1,sig. positive,4
50kb,si:dkey-46g23.2,sig. positive,6
50kb,si:dkey-46g23.5,sig. positive,2
50kb,si:dkey-46i9.6,sig. negative,1
50kb,si:dkey-48g21.7,sig. positive,1
50kb,si:dkey-49n23.1,sig. positive,23
50kb,si:dkey-4c15.13,sig. positive,6
50kb,si:dkey-4c15.14,sig. positive,5
50kb,si:dkey-4e7.3,sig. negative,2
50kb,si:dkey-4e7.3,sig. positive,1
50kb,si:dkey-4i23.5,sig. negative,2
50kb,si:dkey-50i6.6,sig. positive,13
50kb,si:dkey-51a16.9,sig. positive,11
50kb,si:dkey-52l18.4,sig. positive,22
50kb,si:dkey-56d12.4,sig. negative,1
50kb,si:dkey-56e3.3,sig. positive,1
50kb,si:dkey-56f14.7,sig. positive,7
50kb,si:dkey-56i24.1,sig. positive,3
50kb,si:dkey-56m19.5,sig. positive,15
50kb,si:dkey-58f10.13,sig. positive,2
50kb,si:dkey-58f10.14,sig. positive,1
50kb,si:dkey-58f10.6,sig. positive,1
50kb,si:dkey-58i8.5,sig. negative,2
50kb,si:dkey-5i3.5,sig. negative,1
50kb,si:dkey-61l1.4,sig. positive,9
50kb,si:dkey-62k3.5,sig. negative,1
50kb,si:dkey-62k3.5,sig. positive,1
50kb,si:dkey-62k3.6,sig. positive,1
50kb,si:dkey-63d15.12,sig. negative,1
50kb,si:dkey-63d15.12,sig. positive,1
50kb,si:dkey-63j12.4,sig. negative,1
50kb,si:dkey-63j12.4,sig. positive,2
50kb,si:dkey-65b12.12,sig. negative,1
50kb,si:dkey-65b12.12,sig. positive,4
50kb,si:dkey-65b12.6,sig. negative,1
50kb,si:dkey-65b13.8,sig. positive,3
50kb,si:dkey-65j4.2,sig. negative,3
50kb,si:dkey-65j6.2,sig. negative,1
50kb,si:dkey-65j6.2,sig. positive,16
50kb,si:dkey-66a8.7,sig. negative,2
50kb,si:dkey-66i24.7,sig. positive,4
50kb,si:dkey-66i24.8,sig. negative,1
50kb,si:dkey-66i24.9,sig. negative,1
50kb,si:dkey-66i24.9,sig. positive,6
50kb,si:dkey-68o6.5,sig. positive,16
50kb,si:dkey-68o6.6,sig. positive,15
50kb,si:dkey-68o6.8,sig. positive,1
50kb,si:dkey-69o16.5,sig. positive,1
50kb,si:dkey-6a5.3,sig. negative,1
50kb,si:dkey-6e2.2,sig. positive,7
50kb,si:dkey-6f10.3,sig. negative,1
50kb,si:dkey-6i22.5,sig. negative,3
50kb,si:dkey-6i22.5,sig. positive,1
50kb,si:dkey-6n21.12,sig. negative,1
50kb,si:dkey-6n21.12,sig. positive,10
50kb,si:dkey-6n6.1,sig. positive,1
50kb,si:dkey-70p6.1,sig. positive,13
50kb,si:dkey-71d15.2,sig. negative,4
50kb,si:dkey-71d15.2,sig. positive,3
50kb,si:dkey-71h2.2,sig. positive,24
50kb,si:dkey-71l1.1,sig. negative,3
50kb,si:dkey-71l1.1,sig. positive,1
50kb,si:dkey-71p21.13,sig. negative,1
50kb,si:dkey-71p21.13,sig. positive,4
50kb,si:dkey-72l17.5,sig. positive,1
50kb,si:dkey-73n10.1,sig. positive,38
50kb,si:dkey-73n8.3,sig. positive,9
50kb,si:dkey-74k8.3,sig. positive,7
50kb,si:dkey-74k8.4,sig. positive,2
50kb,si:dkey-75a21.2,sig. negative,1
50kb,si:dkey-76k16.6,sig. positive,6
50kb,si:dkey-76p14.2,sig. positive,10
50kb,si:dkey-77f5.8,sig. positive,6
50kb,si:dkey-78a14.4,sig. positive,7
50kb,si:dkey-78l4.11,sig. positive,3
50kb,si:dkey-78l4.12,sig. negative,2
50kb,si:dkey-78l4.7,sig. negative,1
50kb,si:dkey-78l4.7,sig. positive,1
50kb,si:dkey-78l4.8,sig. negative,2
50kb,si:dkey-79d12.4,sig. negative,1
50kb,si:dkey-79d12.5,sig. positive,14
50kb,si:dkey-7c18.24,sig. negative,1
50kb,si:dkey-7i4.1,sig. negative,2
50kb,si:dkey-7i4.1,sig. positive,3
50kb,si:dkey-7j14.5,sig. positive,6
50kb,si:dkey-7j14.6,sig. positive,8
50kb,si:dkey-7k24.5,sig. negative,1
50kb,si:dkey-7l6.3,sig. negative,1
50kb,si:dkey-7l6.3,sig. positive,4
50kb,si:dkey-7n6.2,sig. negative,1
50kb,si:dkey-7n6.2,sig. positive,1
50kb,si:dkey-81e3.2,sig. negative,1
50kb,si:dkey-81h8.1,sig. positive,2
50kb,si:dkey-81n2.1,sig. positive,2
50kb,si:dkey-81n2.2,sig. positive,6
50kb,si:dkey-82o10.4,sig. positive,11
50kb,si:dkey-83f18.2,sig. positive,11
50kb,si:dkey-83f18.5,sig. positive,11
50kb,si:dkey-83f18.9,sig. positive,8
50kb,si:dkey-83k24.5,sig. negative,2
50kb,si:dkey-83k24.5,sig. positive,9
50kb,si:dkey-85k15.4,sig. positive,1
50kb,si:dkey-85k15.6,sig. positive,2
50kb,si:dkey-85k7.10,sig. negative,1
50kb,si:dkey-85k7.12,sig. positive,3
50kb,si:dkey-85k7.7,sig. positive,9
50kb,si:dkey-86e18.1,sig. positive,2
50kb,si:dkey-87o1.2,sig. positive,3
50kb,si:dkey-88j15.3,sig. positive,1
50kb,si:dkey-88l16.3,sig. positive,7
50kb,si:dkey-88l16.5,sig. positive,15
50kb,si:dkey-88n24.11,sig. positive,1
50kb,si:dkey-88n24.6,sig. negative,2
50kb,si:dkey-88p24.11,sig. negative,1
50kb,si:dkey-8e10.3,sig. negative,1
50kb,si:dkey-8e10.3,sig. positive,2
50kb,si:dkey-90l23.1,sig. negative,3
50kb,si:dkey-90l23.2,sig. positive,1
50kb,si:dkey-90l8.3,sig. positive,3
