window,gene,category,count,count_ols
100kb,c16h2orf66,sig. negative,8,8
100kb,c16h2orf66,sig. positive,7,7
100kb,c1qtnf1,sig. negative,1,1
100kb,c1qtnf1,sig. positive,2,2
100kb,c1qtnf12,sig. positive,1,1
100kb,c1qtnf4,sig. negative,14,14
100kb,c1qtnf4,sig. positive,16,16
100kb,c1qtnf6a,sig. positive,1,1
100kb,c3a.1,sig. negative,6,6
100kb,c3a.1,sig. positive,8,8
100kb,c6.1,sig. negative,11,11
100kb,c6.1,sig. positive,11,11
100kb,c7b,sig. negative,14,14
100kb,c7b,sig. positive,15,15
100kb,ca15c,sig. negative,10,10
100kb,ca15c,sig. positive,9,9
100kb,cabcoco1,sig. negative,1,1
100kb,cabcoco1,sig. positive,2,2
100kb,cables2a,sig. negative,2,2
100kb,cables2a,sig. positive,1,1
100kb,cabp1a,sig. negative,6,6
100kb,cabp1a,sig. positive,5,5
100kb,cacna2d3,sig. negative,2,2
100kb,cacng1b,sig. negative,15,15
100kb,cacng1b,sig. positive,10,10
100kb,cacng8b,sig. negative,11,11
100kb,cacng8b,sig. positive,15,15
100kb,cactin,sig. negative,3,3
100kb,cactin,sig. positive,7,7
100kb,calca,sig. positive,1,1
100kb,calcoco1a,sig. negative,2,2
100kb,calcoco1a,sig. positive,3,3
100kb,calhm2.2,sig. negative,7,7
100kb,calhm2.2,sig. positive,9,9
100kb,calm3a,sig. positive,1,1
100kb,calr3a,sig. negative,12,12
100kb,calr3a,sig. positive,19,19
100kb,caly,sig. negative,7,7
100kb,caly,sig. positive,8,8
100kb,camk1a,sig. negative,3,3
100kb,camk1a,sig. positive,4,4
100kb,camk1db,sig. negative,14,14
100kb,camk1db,sig. positive,22,22
100kb,capn3a,sig. negative,15,15
100kb,capn3a,sig. positive,9,9
100kb,capn5b,sig. negative,1,1
100kb,capns1a,sig. negative,4,4
100kb,capns1a,sig. positive,4,4
100kb,carm1l,sig. negative,1,1
100kb,casc3,sig. negative,17,17
100kb,casc3,sig. positive,14,14
100kb,casd1,sig. negative,2,2
100kb,casd1,sig. positive,3,3
100kb,caskb,sig. negative,8,8
100kb,caskb,sig. positive,11,11
100kb,caspa,sig. negative,7,7
100kb,caspa,sig. positive,5,5
100kb,caspbl,sig. negative,4,4
100kb,caspbl,sig. positive,7,7
100kb,cass4,sig. negative,5,5
100kb,cass4,sig. positive,3,3
100kb,cavin2a,sig. positive,1,1
100kb,cblb,sig. negative,3,3
100kb,cblb,sig. positive,3,3
100kb,cbln11,sig. negative,11,11
100kb,cbln11,sig. positive,9,9
100kb,cbln12,sig. positive,1,1
100kb,cbln2a,sig. negative,13,13
100kb,cbln2a,sig. positive,10,10
100kb,cbx3b,sig. negative,16,16
100kb,cbx3b,sig. positive,16,16
100kb,cbx6a,sig. negative,1,1
100kb,ccar1,sig. positive,1,1
100kb,ccar2,sig. negative,3,3
100kb,ccar2,sig. positive,2,2
100kb,ccdc106a,sig. negative,20,20
100kb,ccdc106a,sig. positive,13,13
100kb,ccdc15,sig. negative,2,2
100kb,ccdc160,sig. negative,9,9
100kb,ccdc160,sig. positive,6,6
100kb,ccdc171,sig. negative,9,9
100kb,ccdc171,sig. positive,11,11
100kb,ccdc172,sig. negative,1,1
100kb,ccdc172,sig. positive,1,1
100kb,ccdc25,sig. positive,2,2
100kb,ccdc28a,sig. negative,1,1
100kb,ccdc28a,sig. positive,1,1
100kb,ccdc30,sig. negative,13,13
100kb,ccdc30,sig. positive,13,13
100kb,ccdc43,sig. negative,17,17
100kb,ccdc43,sig. positive,20,20
100kb,ccdc85al,sig. negative,3,3
100kb,ccdc85al,sig. positive,4,4
100kb,ccdc87,sig. negative,8,8
100kb,ccdc87,sig. positive,12,12
100kb,ccl33.3,sig. negative,3,3
100kb,ccl33.3,sig. positive,6,6
100kb,ccn4b,sig. negative,9,9
100kb,ccn4b,sig. positive,4,4
100kb,ccnd3,sig. negative,9,9
100kb,ccnd3,sig. positive,11,11
100kb,ccng2,sig. negative,15,15
100kb,ccng2,sig. positive,17,17
100kb,ccnt2b,sig. negative,15,15
100kb,ccnt2b,sig. positive,16,16
100kb,ccnyl1,sig. negative,16,16
100kb,ccnyl1,sig. positive,13,13
100kb,ccpg1,sig. negative,2,2
100kb,ccr12a,sig. negative,20,20
100kb,ccr12a,sig. positive,16,16
100kb,ccr2,sig. negative,6,6
100kb,ccr2,sig. positive,5,5
100kb,ccr7,sig. positive,1,1
100kb,ccr9b,sig. negative,9,9
100kb,ccr9b,sig. positive,10,10
100kb,ccs,sig. negative,11,11
100kb,ccs,sig. positive,9,9
100kb,cd22,sig. negative,6,6
100kb,cd22,sig. positive,5,5
100kb,cd4-1,sig. positive,1,1
100kb,cd4-2.2,sig. negative,13,13
100kb,cd4-2.2,sig. positive,24,24
100kb,cd81b,sig. negative,7,7
100kb,cd81b,sig. positive,13,13
100kb,cdc20,sig. negative,11,11
100kb,cdc20,sig. positive,6,6
100kb,cdc42ep5,sig. negative,2,2
100kb,cdc42ep5,sig. positive,3,3
100kb,cdh2,sig. negative,7,7
100kb,cdh2,sig. positive,6,6
100kb,cdh23,sig. negative,8,8
100kb,cdh23,sig. positive,6,6
100kb,cdh4,sig. negative,10,10
100kb,cdh4,sig. positive,20,20
100kb,cdk5r1a,sig. negative,1,1
100kb,cdk5r1a,sig. positive,6,6
100kb,cdk5r1b,sig. negative,4,4
100kb,cdk5r1b,sig. positive,5,5
100kb,cdk5r2b,sig. positive,1,1
100kb,cdk5rap2,sig. negative,19,19
100kb,cdk5rap2,sig. positive,17,17
100kb,cdkn2a/b,sig. negative,19,19
100kb,cdkn2a/b,sig. positive,18,18
100kb,cdkn3,sig. negative,14,14
100kb,cdkn3,sig. positive,13,13
100kb,cds2,sig. negative,16,16
100kb,cds2,sig. positive,13,13
100kb,cdyl,sig. negative,1,1
100kb,cdyl,sig. positive,2,2
100kb,cebp1,sig. negative,8,8
100kb,cebp1,sig. positive,6,6
100kb,celf3b,sig. negative,1,1
100kb,celf3b,sig. positive,3,3
100kb,celf4,sig. negative,16,16
100kb,celf4,sig. positive,13,13
100kb,cemip,sig. negative,11,11
100kb,cemip,sig. positive,11,11
100kb,cemip2,sig. positive,1,1
100kb,cenps,sig. negative,12,12
100kb,cenps,sig. positive,14,14
100kb,cep350,sig. negative,24,24
100kb,cep350,sig. positive,13,13
100kb,cep85l,sig. negative,15,15
100kb,cep85l,sig. positive,12,12
100kb,cept1b,sig. positive,1,1
100kb,cers2a,sig. negative,13,13
100kb,cers2a,sig. positive,10,10
100kb,cers2b,sig. negative,8,8
100kb,cers2b,sig. positive,9,9
100kb,cers4a,sig. negative,18,18
100kb,cers4a,sig. positive,10,10
100kb,cetp,sig. negative,14,14
100kb,cetp,sig. positive,16,16
100kb,cfh,sig. negative,16,16
100kb,cfh,sig. positive,16,16
100kb,cfhl2,sig. negative,3,3
